title,cast,crew,genres,keywords,overview,release_date,runtime,tagline,vote_average,finalcol
Videodrome,JamesWoods SonjaSmits DeborahHarry PeterDvorsky,DavidCronenberg,Horror Mystery ScienceFiction,suicide tvshow hallucination tvstation radiopresenter toronto dystopia brainwashing pittsburgh,,1983-02-04,87.0,,7.1,jameswoods sonjasmits deborahharry peterdvorsky davidcronenberg  horror mystery sciencefiction  suicide tvshow hallucination tvstation radiopresenter toronto dystopia brainwashing pittsburgh
The Spanish Apartment,RomainDuris AudreyTautou KellyReilly CéciledeFrance,CédricKlapisch,Drama Comedy Romance,paris barcelonaspain alcohol roommate single travel crush student relationship break-up youth celebration groupoffriends,,2002-05-17,122.0,,7.0,romainduris audreytautou kellyreilly céciledefrance cédricklapisch  drama comedy romance  paris barcelonaspain alcohol roommate single travel crush student relationship break-up youth celebration groupoffriends
Song One,AnneHathaway JohnnyFlynn MarySteenburgen BenRosenfield,KateBarker-Froyland,Drama,womandirector,,2014-01-20,86.0,,5.5,annehathaway johnnyflynn marysteenburgen benrosenfield katebarker-froyland  drama  womandirector
Winter in Wartime,MartijnLakemeier MelodyKlaver YorickvanWageningen JamieCampbellBower,MartinKoolhoven,Drama History War,netherlands worldwarii,,2008-11-17,103.0,,6.8,martijnlakemeier melodyklaver yorickvanwageningen jamiecampbellbower martinkoolhoven  drama history war  netherlands worldwarii
Freaky Deaky,ChristianSlater MichaelJaiWhite CrispinGlover BillyBurke,CharlesMatthau,Comedy,bombsquad ex-fugitive freaky,,2012-04-22,90.0,,4.9,christianslater michaeljaiwhite crispinglover billyburke charlesmatthau  comedy  bombsquad ex-fugitive freaky
The Train,BurtLancaster PaulScofield JeanneMoreau SuzanneFlon,JohnFrankenheimer,Action Drama Thriller War,paris france worldwarii nazis hijackingoftrain artwork trainride painting frenchresistance traincrash nazigermany artthief arttheft,,1964-09-21,133.0,,7.2,burtlancaster paulscofield jeannemoreau suzanneflon johnfrankenheimer  action drama thriller war  paris france worldwarii nazis hijackingoftrain artwork trainride painting frenchresistance traincrash nazigermany artthief arttheft
Trade Of Innocents,DermotMulroney MiraSorvino JohnBillingsley TrieuTran,ChristopherBessette,Drama Thriller,,,2012-09-27,91.0,,5.5,dermotmulroney mirasorvino johnbillingsley trieutran christopherbessette  drama thriller  
The Protector,TonyJaa PetchtaiWongkamlao BongkojKhongmalai XingJing,PrachyaPinkaew,Action Crime Drama Thriller,buddhism elephant sydney australia fighter tempel gang animal,,2005-08-11,108.0,,6.8,tonyjaa petchtaiwongkamlao bongkojkhongmalai xingjing prachyapinkaew  action crime drama thriller  buddhism elephant sydney australia fighter tempel gang animal
Stiff Upper Lips,GeorginaCates PeterUstinov PrunellaScales SamuelWest,GarySinyor,Comedy,italy victorianengland youngwoman,,1998-06-12,99.0,,10.0,georginacates peterustinov prunellascales samuelwest garysinyor  comedy  italy victorianengland youngwoman
Bend It Like Beckham,ParminderNagra KeiraKnightley JonathanRhysMeyers AnupamKher,GurinderChadha,Comedy Drama Romance,londonengland tradition indianlead cultureclash immigration roleofwomen sikh women'ssoccer soccer family womandirector,,2002-04-11,112.0,,6.2,parmindernagra keiraknightley jonathanrhysmeyers anupamkher gurinderchadha  comedy drama romance  londonengland tradition indianlead cultureclash immigration roleofwomen sikh women'ssoccer soccer family womandirector
Sunshine State,AlanKing AngelaBassett TimothyHutton MarySteenburgen,JohnSayles,Drama,independentfilm,,2002-06-21,141.0,,6.0,alanking angelabassett timothyhutton marysteenburgen johnsayles  drama  independentfilm
Crossover,AnthonyMackie MarcelloThedford AllenPayne WesleyJonathan,PrestonA.WhitmoreII,Action Adventure Drama,streetgang blackpeople sport highschoolsports,,2006-09-01,95.0,,4.2,anthonymackie marcellothedford allenpayne wesleyjonathan prestona.whitmoreii  action adventure drama  streetgang blackpeople sport highschoolsports
Khiladi 786,AkshayKumar AsinThottumkal HimeshReshammiya MithunChakraborty,AshishR.Mohan,Action Comedy,,,2012-12-07,139.0,,4.7,akshaykumar asinthottumkal himeshreshammiya mithunchakraborty ashishr.mohan  action comedy  
[REC]²,ManuelaVelasco FerranTerraza ClaudiaSilva JavierBotet,JaumeBalagueró PacoPlaza,Thriller Horror,religionandsupernatural bloodsample occult swatteam gasmask nightvision freezer foundfootage,,2009-09-15,85.0,,6.4,manuelavelasco ferranterraza claudiasilva javierbotet jaumebalagueró pacoplaza  thriller horror  religionandsupernatural bloodsample occult swatteam gasmask nightvision freezer foundfootage
Standing Ovation,KaylaJackson KaylaRaparelli SalDupree AlSapienza,StewartRaffill,Comedy Music Family,,,2010-07-16,105.0,,3.9,kaylajackson kaylaraparelli saldupree alsapienza stewartraffill  comedy music family  
The Sting,PaulNewman RobertRedford RobertShaw CharlesDurning,GeorgeRoyHill,Comedy Crime Drama,chicago bet horserace repayment conman mafiaboss violence ragtime referencetomuttandjeff offtrackbetting stingoperation alley 1930s 20thcentury,,1973-12-25,129.0,,7.9,paulnewman robertredford robertshaw charlesdurning georgeroyhill  comedy crime drama  chicago bet horserace repayment conman mafiaboss violence ragtime referencetomuttandjeff offtrackbetting stingoperation alley 1930s 20thcentury
Chariots of Fire,BenCross IanCharleson CherylCampbell AliceKrige,HughHudson,Drama History,underdog scotland jewry patriotism olympicgames jew olympiansportsteam ambition,,1981-05-15,123.0,,6.8,bencross iancharleson cherylcampbell alicekrige hughhudson  drama history  underdog scotland jewry patriotism olympicgames jew olympiansportsteam ambition
Diary of a Mad Black Woman,KimberlyElise SteveHarris TylerPerry ShemarMoore,DarrenGrant,Comedy Drama Romance,,,2005-02-25,116.0,,6.4,kimberlyelise steveharris tylerperry shemarmoore darrengrant  comedy drama romance  
Shine,GeoffreyRush NoahTaylor ArminMueller-Stahl JustinBraine,ScottHicks,Drama,letter jumping childprodigy pool pianist concerthall breakdown,,1996-01-21,105.0,,7.3,geoffreyrush noahtaylor arminmueller-stahl justinbraine scotthicks  drama  letter jumping childprodigy pool pianist concerthall breakdown
Don Jon,JosephGordon-Levitt ScarlettJohansson JulianneMoore TonyDanza,JosephGordon-Levitt,Romance Comedy Drama,pornography sex sexaddiction malefemalerelationship internetporn malemasturbation masturbation,,2013-07-26,90.0,,5.9,josephgordon-levitt scarlettjohansson juliannemoore tonydanza josephgordon-levitt  romance comedy drama  pornography sex sexaddiction malefemalerelationship internetporn malemasturbation masturbation
High Plains Drifter,ClintEastwood VernaBloom MariannaHill MitchellRyan,ClintEastwood,Western,gunslinger desperation outlaw,,1973-04-19,105.0,,7.4,clinteastwood vernabloom mariannahill mitchellryan clinteastwood  western  gunslinger desperation outlaw
Ghost World,ThoraBirch ScarlettJohansson SteveBuscemi BradRenfro,TerryZwigoff,Comedy Drama,highschoolfriends artclass recordcollector plaster personalad bluesmusic nunchaku pranktelephonecall aftercreditsstinger,,2001-07-20,111.0,,7.1,thorabirch scarlettjohansson stevebuscemi bradrenfro terryzwigoff  comedy drama  highschoolfriends artclass recordcollector plaster personalad bluesmusic nunchaku pranktelephonecall aftercreditsstinger
Iris,JudiDench JimBroadbent KateWinslet HughBonneville,RichardEyre,Drama Romance,basedonnovel newlove loveofone'slife retiree aging alzheimer pflegen love author short-termmemory photographicmemory,,2001-12-14,91.0,,6.2,judidench jimbroadbent katewinslet hughbonneville richardeyre  drama romance  basedonnovel newlove loveofone'slife retiree aging alzheimer pflegen love author short-termmemory photographicmemory
Galaxina,DorothyStratten StephenMacht AverySchreiber LionelMarkSmith,WilliamSachs,Comedy ScienceFiction,android harleydavidson cryogenics spacetravel love parody spaceship space alien motorcycle exercise lasers forcefield metafilm forcefield motorbike cryonics,,1980-06-06,95.0,,3.3,dorothystratten stephenmacht averyschreiber lionelmarksmith williamsachs  comedy sciencefiction  android harleydavidson cryogenics spacetravel love parody spaceship space alien motorcycle exercise lasers forcefield metafilm forcefield motorbike cryonics
The Chorus,GérardJugnot FrançoisBerléand KadMerad Jean-PaulBonnaire,ChristopheBarratier,Drama,penalty choir diary musical boy'schoir dormitory music boardingschool children principal boys'boardingschool 1940s,,2004-03-17,96.0,,7.5,gérardjugnot françoisberléand kadmerad jean-paulbonnaire christophebarratier  drama  penalty choir diary musical boy'schoir dormitory music boardingschool children principal boys'boardingschool 1940s
Mambo Italiano,LukeKirby GinetteReno PaulSorvino MaryWalsh,ÉmileGaudreault,Comedy Romance,gay fathersonrelationship sex italo-american lovesickness italian canada newlove comingout macho basedonplay gayrelationship family familyfeud lgbt emigrant,,2003-06-06,92.0,,5.6,lukekirby ginettereno paulsorvino marywalsh émilegaudreault  comedy romance  gay fathersonrelationship sex italo-american lovesickness italian canada newlove comingout macho basedonplay gayrelationship family familyfeud lgbt emigrant
Wonderland,ValKilmer DylanMcDermott KateBosworth JoshLucas,JamesCox,Crime Drama Mystery Thriller,robbery junkie investigation pornostar murder losangeles violence drug,,2003-10-23,104.0,,6.2,valkilmer dylanmcdermott katebosworth joshlucas jamescox  crime drama mystery thriller  robbery junkie investigation pornostar murder losangeles violence drug
Do the Right Thing,DannyAiello OssieDavis RubyDee RichardEdson,SpikeLee,Drama,blackpeople italo-american policebrutality sunglasses cultureclash streetwar heat restaurantcritic radiotransmission punk chaos policeoperation pizzeria pizza money racism hiphopculture,,1989-06-30,120.0,,7.6,dannyaiello ossiedavis rubydee richardedson spikelee  drama  blackpeople italo-american policebrutality sunglasses cultureclash streetwar heat restaurantcritic radiotransmission punk chaos policeoperation pizzeria pizza money racism hiphopculture
Harvard Man,SarahMichelleGellar AdrianGrenier JoeyLaurenAdams EricStoltz,JamesToback,Drama,gambling sex college basketball mafia drug,,2001-01-01,99.0,,4.8,sarahmichellegellar adriangrenier joeylaurenadams ericstoltz jamestoback  drama  gambling sex college basketball mafia drug
Le Havre,AndréWilms KatiOutinen BlondinMiguel ElinaSalo,AkiKaurismäki,Drama Comedy,poverty policeman shoeshiner northernfrance,,2011-05-17,93.0,,6.8,andréwilms katioutinen blondinmiguel elinasalo akikaurismäki  drama comedy  poverty policeman shoeshiner northernfrance
Irreversible,MonicaBellucci VincentCassel AlbertDupontel JoPrestia,GasparNoé,Drama Thriller Crime Mystery,paris prostitute rape sex nudity trauma knife assault police love revenge unsimulatedsex cruelty brutality violence drug dark evil boyfriend rapeandrevenge underpass newfrenchextremism,,2002-05-22,97.0,,7.1,monicabellucci vincentcassel albertdupontel joprestia gasparnoé  drama thriller crime mystery  paris prostitute rape sex nudity trauma knife assault police love revenge unsimulatedsex cruelty brutality violence drug dark evil boyfriend rapeandrevenge underpass newfrenchextremism
R100,NaoOmori MaoDaichi ShinobuTerajima HairiKatagiri,HitoshiMatsumoto,Comedy Drama,dominatrix bdsm,,2013-10-05,100.0,,5.4,naoomori maodaichi shinobuterajima hairikatagiri hitoshimatsumoto  comedy drama  dominatrix bdsm
Rang De Basanti,AamirKhan SohaAliKhan AlicePatten SharmanJoshi,RakeyshOmprakashMehra,Drama,newdelhiindia students'movement warofindependence student celebration,,2006-01-26,157.0,,7.2,aamirkhan sohaalikhan alicepatten sharmanjoshi rakeyshomprakashmehra  drama  newdelhiindia students'movement warofindependence student celebration
Animals,DavidDastmalchian KimShaw JohnHeard JohnHoogenakker,CollinSchiffli,Drama,,,2014-05-15,90.0,,6.2,daviddastmalchian kimshaw johnheard johnhoogenakker collinschiffli  drama  
Salvation Boulevard,JenniferConnelly MarisaTomei PierceBrosnan EdHarris,GeorgeRatliff,Comedy Thriller Action Drama,pastor churchservice spirituality religion,,2011-07-15,96.0,,5.6,jenniferconnelly marisatomei piercebrosnan edharris georgeratliff  comedy thriller action drama  pastor churchservice spirituality religion
The Ten,PaulRudd AdamBrody JonHamm WinonaRyder,DavidWain,Comedy,independentfilm ventriloquistdummy multiplestorylines sabbath brainscan radiationsickness parachutist rubik'scube,,2007-08-03,96.0,,4.9,paulrudd adambrody jonhamm winonaryder davidwain  comedy  independentfilm ventriloquistdummy multiplestorylines sabbath brainscan radiationsickness parachutist rubik'scube
A Room for Romeo Brass,PaddyConsidine AndrewShim FrankHarper VickyMcClure,ShaneMeadows,Drama Comedy Foreign,rejection friendship youth,,1999-08-23,90.0,,7.3,paddyconsidine andrewshim frankharper vickymcclure shanemeadows  drama comedy foreign  rejection friendship youth
Headhunters,AkselHennie NikolajCoster-Waldau SynnøveMacodyLund JulieR.Ølgaard,MortenTyldum,Thriller Crime,deathoflover artthief artgallery policeinvestigation,,2011-08-04,100.0,,7.1,akselhennie nikolajcoster-waldau synnøvemacodylund julier.ølgaard mortentyldum  thriller crime  deathoflover artthief artgallery policeinvestigation
Grabbers,RichardCoyle RuthBradley RussellTovey BronaghGallagher,JonWright,ScienceFiction Comedy Thriller Horror,monster ireland drunk beheaded,,2012-08-10,94.0,,6.0,richardcoyle ruthbradley russelltovey bronaghgallagher jonwright  sciencefiction comedy thriller horror  monster ireland drunk beheaded
Saint Ralph,AdamButcher CampbellScott MichaelKanev GordonPinsent,MichaelMcGowan,Comedy Drama,sport independentfilm,,2004-09-11,95.0,,7.3,adambutcher campbellscott michaelkanev gordonpinsent michaelmcgowan  comedy drama  sport independentfilm
Miss Julie,JessicaChastain ColinFarrell SamanthaMorton NoraMcMenamy,LivUllmann,Drama,lovetriangle love irish valet womandirector 19thcentury,,2014-09-07,120.0,,5.9,jessicachastain colinfarrell samanthamorton noramcmenamy livullmann  drama  lovetriangle love irish valet womandirector 19thcentury
Somewhere in Time,ChristopherReeve JaneSeymour ChristopherPlummer TeresaWright,JeannotSzwarc,ScienceFiction Drama Fantasy Romance,timetravel playwright 1910s,,1980-10-02,103.0,,7.2,christopherreeve janeseymour christopherplummer teresawright jeannotszwarc  sciencefiction drama fantasy romance  timetravel playwright 1910s
Dum Maaro Dum,AbhishekBachchan BipashaBasu DeepikaPadukone RanaDaggubati,RohanSippy,Drama Action Crime Foreign,goa drugbust raveparty,,2011-04-22,130.0,,5.4,abhishekbachchan bipashabasu deepikapadukone ranadaggubati rohansippy  drama action crime foreign  goa drugbust raveparty
Insidious: Chapter 2,PatrickWilson RoseByrne TySimpkins LinShaye,JamesWan,Horror Thriller,hauntedhouse possession demon family ghost brideinblack,,2013-09-12,106.0,,6.5,patrickwilson rosebyrne tysimpkins linshaye jameswan  horror thriller  hauntedhouse possession demon family ghost brideinblack
Saw II,TobinBell ShawneeSmith DonnieWahlberg FrankyG,DarrenLynnBousman,Horror,riddle serialkiller,,2005-10-28,92.0,,6.3,tobinbell shawneesmith donniewahlberg frankyg darrenlynnbousman  horror  riddle serialkiller
10 Cloverfield Lane,MaryElizabethWinstead JohnGoodman JohnGallagherJr. BradleyCooper,DanTrachtenberg,Thriller ScienceFiction Drama,kidnapping bunker paranoia basement survivalist apocalypse caraccident captive,,2016-03-10,103.0,,6.8,maryelizabethwinstead johngoodman johngallagherjr. bradleycooper dantrachtenberg  thriller sciencefiction drama  kidnapping bunker paranoia basement survivalist apocalypse caraccident captive
Jackass: The Movie,JohnnyKnoxville BamMargera Steve-O ChrisPontius,JeffTremaine,Documentary Comedy,disgust pain stunts musicvideo stuntman stupidity shocking,,2002-10-21,87.0,,6.1,johnnyknoxville bammargera steve-o chrispontius jefftremaine  documentary comedy  disgust pain stunts musicvideo stuntman stupidity shocking
Lights Out,TeresaPalmer MariaBello GabrielBateman AlexanderDiPersia,DavidF.Sandberg,Horror Thriller,suicide darkness basement basedonshortstory fearofthedark ghost,,2016-07-21,81.0,,6.3,teresapalmer mariabello gabrielbateman alexanderdipersia davidf.sandberg  horror thriller  suicide darkness basement basedonshortstory fearofthedark ghost
Paranormal Activity 3,KatieFeatherston SpragueGrayden LaurenBittner ChristopherNicholasSmith,HenryJoost ArielSchulman,Horror,witch sistersisterrelationship sequel prequel haunting foundfootage,,2011-10-19,83.0,,5.9,katiefeatherston spraguegrayden laurenbittner christophernicholassmith henryjoost arielschulman  horror  witch sistersisterrelationship sequel prequel haunting foundfootage
Ouija,OliviaCooke AnaCoto DarenKagasoff BiancaA.Santos,StilesWhite,Horror,deathofafriend swimmingpool ouija ouijaboard teenager basedonboardgame ghost spiritualism supernaturalhorror,,2014-10-24,89.0,,4.9,oliviacooke anacoto darenkagasoff biancaa.santos stileswhite  horror  deathofafriend swimmingpool ouija ouijaboard teenager basedonboardgame ghost spiritualism supernaturalhorror
A Nightmare on Elm Street 3: Dream Warriors,RobertEnglund PatriciaArquette HeatherLangenkamp JohnSaxon,ChuckRussell,Horror Thriller,grouptherapy nightmare hypnosis trapped alcoholic mentalillness catholicism disfigurement sleepwalking mentalhospital psychotherapist dreams,,1987-02-27,96.0,,6.5,robertenglund patriciaarquette heatherlangenkamp johnsaxon chuckrussell  horror thriller  grouptherapy nightmare hypnosis trapped alcoholic mentalillness catholicism disfigurement sleepwalking mentalhospital psychotherapist dreams
Instructions Not Included,LoretoPeralta EugenioDerbez JessicaLindsey DanielRaymont,EugenioDerbez,Comedy Drama,bachelor vespa,,2013-07-20,115.0,,7.5,loretoperalta eugenioderbez jessicalindsey danielraymont eugenioderbez  comedy drama  bachelor vespa
Paranormal Activity 4,KatieFeatherston KathrynNewton MattShively AidenLovekamp,HenryJoost ArielSchulman,Horror,garage poltergeist webcam imaginaryfriend bathtub tricycle foundfootage laptopcomputer videotape evilchild levitation aftercreditsstinger neighborneighborrelationship adoptedchild,,2012-10-17,95.0,,5.2,katiefeatherston kathrynnewton mattshively aidenlovekamp henryjoost arielschulman  horror  garage poltergeist webcam imaginaryfriend bathtub tricycle foundfootage laptopcomputer videotape evilchild levitation aftercreditsstinger neighborneighborrelationship adoptedchild
The Robe,RichardBurton JeanSimmons VictorMature JayRobinson,HenryKoster,Drama,crucifixion ancientrome,,1953-09-16,135.0,,6.4,richardburton jeansimmons victormature jayrobinson henrykoster  drama  crucifixion ancientrome
The Return of the Pink Panther,PeterSellers ChristopherPlummer HerbertLom CatherineSchell,BlakeEdwards,Comedy,robbery diamant côted'azur inspector panther,,1975-05-21,113.0,,6.7,petersellers christopherplummer herbertlom catherineschell blakeedwards  comedy  robbery diamant côted'azur inspector panther
Freddy's Dead: The Final Nightmare,RobertEnglund LisaZane ShonGreenblatt LezlieDeane,RachelTalalay,Horror Thriller Comedy,amnesia nightmare alternatedimension psychologist memoryloss youth killer disfigurement duringcreditsstinger womandirector halfwayhouse dreams memories,,1991-09-05,89.0,,5.1,robertenglund lisazane shongreenblatt lezliedeane racheltalalay  horror thriller comedy  amnesia nightmare alternatedimension psychologist memoryloss youth killer disfigurement duringcreditsstinger womandirector halfwayhouse dreams memories
Monster,CharlizeTheron ChristinaRicci BruceDern LeeTergesen,PattyJenkins,Crime Drama,femalenudity prostitute rape sexualabuse desperation deathpenalty motel jobinterview basedontruestory murder betrayal serialkiller poverty prostitution heartbreak mentalillness womandirector ugly,,2003-11-16,110.0,,7.0,charlizetheron christinaricci brucedern leetergesen pattyjenkins  crime drama  femalenudity prostitute rape sexualabuse desperation deathpenalty motel jobinterview basedontruestory murder betrayal serialkiller poverty prostitution heartbreak mentalillness womandirector ugly
"20,000 Leagues Under the Sea",KirkDouglas JamesMason PaulLukas PeterLorre,RichardFleischer,Adventure Drama ScienceFiction,diving ocean submarine julesverne captain atlantis deepsea warship divingsuit harpoon ship war scubadiving underwater scuba captainnemo giantsquid,,1954-12-23,127.0,,6.8,kirkdouglas jamesmason paullukas peterlorre richardfleischer  adventure drama sciencefiction  diving ocean submarine julesverne captain atlantis deepsea warship divingsuit harpoon ship war scubadiving underwater scuba captainnemo giantsquid
Paranormal Activity: The Marked Ones,AndrewJacobs RichardCabral CarlosPratts EddieJ.Fernandez,ChristopherB.Landon,Horror Thriller,supernatural demon foundfootage,,2014-01-01,84.0,,5.2,andrewjacobs richardcabral carlospratts eddiej.fernandez christopherb.landon  horror thriller  supernatural demon foundfootage
The Elephant Man,AnthonyHopkins JohnHurt AnneBancroft JohnGielgud,DavidLynch,Drama History,exploitation biography hospital curiosity sideshow disfigurement physicaldeformity freak 19thcentury dignity,,1980-10-02,124.0,,7.9,anthonyhopkins johnhurt annebancroft johngielgud davidlynch  drama history  exploitation biography hospital curiosity sideshow disfigurement physicaldeformity freak 19thcentury dignity
Dallas Buyers Club,MatthewMcConaughey JenniferGarner JaredLeto DenisO'Hare,Jean-MarcVallée,Drama History,women aids biography basedontruestory hiv drug 1980s,,2013-09-07,117.0,,7.9,matthewmcconaughey jennifergarner jaredleto deniso'hare jean-marcvallée  drama history  women aids biography basedontruestory hiv drug 1980s
The Lazarus Effect,OliviaWilde MarkDuplass DonaldGlover EvanPeters,DavidGelb,Thriller Horror,terror experiment afterlife paranormal violence death evil researcher possesion,,2015-01-29,83.0,,5.1,oliviawilde markduplass donaldglover evanpeters davidgelb  thriller horror  terror experiment afterlife paranormal violence death evil researcher possesion
Memento,GuyPearce Carrie-AnneMoss JoePantoliano MarkBooneJunior,ChristopherNolan,Mystery Thriller,individual insulin tattoo waitress amnesia motel insurancesalesman revenge memoryloss polaroid flashback neo-noir,,2000-10-11,113.0,,8.1,guypearce carrie-annemoss joepantoliano markboonejunior christophernolan  mystery thriller  individual insulin tattoo waitress amnesia motel insurancesalesman revenge memoryloss polaroid flashback neo-noir
Oculus,KarenGillan BrentonThwaites KateeSackhoff JamesLafferty,MikeFlanagan,Horror,hallucination supernatural mirror skepticism ghost,,2013-09-08,104.0,,6.3,karengillan brentonthwaites kateesackhoff jameslafferty mikeflanagan  horror  hallucination supernatural mirror skepticism ghost
Clerks II,BrianO'Halloran JeffAnderson JasonMewes KevinSmith,KevinSmith,Comedy,independentfilm aftercreditsstinger duringcreditsstinger,,2006-05-25,97.0,,6.9,briano'halloran jeffanderson jasonmewes kevinsmith kevinsmith  comedy  independentfilm aftercreditsstinger duringcreditsstinger
Billy Elliot,JamieBell JulieWalters JeanHeywood JamieDraven,StephenDaldry,Drama Comedy Music,workers'quarter dancingclass strike northernengland scholarship ballet,,2000-05-18,110.0,,7.4,jamiebell juliewalters jeanheywood jamiedraven stephendaldry  drama comedy music  workers'quarter dancingclass strike northernengland scholarship ballet
The Way Way Back,LiamJames SteveCarell ToniCollette AnnaSophiaRobb,NatFaxon JimRash,Comedy Drama,shyness beach bicycle conversation friendship stepfather vacation job neighbor summer teenager waterpark awkwardness,,2013-06-06,103.0,,7.1,liamjames stevecarell tonicollette annasophiarobb natfaxon jimrash  comedy drama  shyness beach bicycle conversation friendship stepfather vacation job neighbor summer teenager waterpark awkwardness
House Party 2,MartinLawrence ChristopherMartin ChristopherReid PaulAnthony,DougMcHenry GeorgeJackson,Comedy,,,1991-10-23,94.0,,4.7,martinlawrence christophermartin christopherreid paulanthony dougmchenry georgejackson  comedy  
The Man from Snowy River,TomBurlinson TerenceDonovan KirkDouglas TommyDysart,GeorgeT.Miller,Family Drama Action Western Romance,regret river horse ranch australia brumby brumbies colt stockman clancyoftheoverflow,,1982-03-02,104.0,,6.8,tomburlinson terencedonovan kirkdouglas tommydysart georget.miller  family drama action western romance  regret river horse ranch australia brumby brumbies colt stockman clancyoftheoverflow
Doug's 1st Movie,ThomasMcHugh FredNewman ChrisPhillips ConstanceShulman,MauriceJoyce,Animation Family Comedy,journalism dance daydream friendship pollution cartoon numberintitle kidsandfamily valentine,,1999-03-26,77.0,,5.4,thomasmchugh frednewman chrisphillips constanceshulman mauricejoyce  animation family comedy  journalism dance daydream friendship pollution cartoon numberintitle kidsandfamily valentine
The Apostle,RobertDuvall BillyBobThornton JuneCarterCash FarrahFawcett,RobertDuvall,Drama,christianity coma jealousy radiostation texas apostle minister louisiana forgiveness independentfilm preacher,,1997-10-09,134.0,,6.1,robertduvall billybobthornton junecartercash farrahfawcett robertduvall  drama  christianity coma jealousy radiostation texas apostle minister louisiana forgiveness independentfilm preacher
Mommie Dearest,FayeDunaway DianaScarwid SteveForrest HowardDaSilva,FrankPerry,Drama,ax biography sociopath lawyer mansion docudrama perfection adoptedchild,,1981-09-18,129.0,,6.5,fayedunaway dianascarwid steveforrest howarddasilva frankperry  drama  ax biography sociopath lawyer mansion docudrama perfection adoptedchild
Our Idiot Brother,PaulRudd ElizabethBanks ZooeyDeschanel EmilyMortimer,JessePeretz,Comedy Drama,brothersisterrelationship sistersisterrelationship familyclan idealist duringcreditsstinger,,2011-08-26,90.0,,5.9,paulrudd elizabethbanks zooeydeschanel emilymortimer jesseperetz  comedy drama  brothersisterrelationship sistersisterrelationship familyclan idealist duringcreditsstinger
Race,StephanJames JasonSudeikis CaricevanHouten JeremyIrons,StephenHopkins,Action Drama,olympicgames biography sport historicalfigure nazigermany racism africanamerican trackandfield,,2016-02-19,134.0,,7.1,stephanjames jasonsudeikis caricevanhouten jeremyirons stephenhopkins  action drama  olympicgames biography sport historicalfigure nazigermany racism africanamerican trackandfield
The Players Club,LisaRayeMcCoy DickAnthonyWilliams JudyannElder ChrystaleWilson,IceCube,Drama,stripclub stripper dominatrix catfight,,1998-04-08,104.0,,6.4,lisarayemccoy dickanthonywilliams judyannelder chrystalewilson icecube  drama  stripclub stripper dominatrix catfight
"As Above, So Below",PerditaWeeks BenFeldman EdwinHodge FrançoisCivil,JohnErickDowdle,Horror Thriller,paris treasure catacombs scientist singinginacar archaeologist lossoffriend subjectivecamera foundfootage thickaccent femalearcheologist burningcar philosopher'sstone frenchaccent rappinginacar,,2014-08-14,93.0,,6.1,perditaweeks benfeldman edwinhodge françoiscivil johnerickdowdle  horror thriller  paris treasure catacombs scientist singinginacar archaeologist lossoffriend subjectivecamera foundfootage thickaccent femalearcheologist burningcar philosopher'sstone frenchaccent rappinginacar
Addicted,BorisKodjoe BrandonGonzales CameronMills EmayatzyCorinealdi,BilleWoodruff,Drama Thriller,infidelity obsession lie sin interracialrelationship cheatingwife lust attraction deceit temptation hipersexualidad faithfulhusband,,2014-10-10,105.0,,5.4,boriskodjoe brandongonzales cameronmills emayatzycorinealdi billewoodruff  drama thriller  infidelity obsession lie sin interracialrelationship cheatingwife lust attraction deceit temptation hipersexualidad faithfulhusband
Eve's Bayou,JurneeSmollett MeaganGood LynnWhitfield SamuelL.Jackson,KasiLemmons,Drama,sistersisterrelationship menstruation superstition independentfilm curse motherdaughterrelationship tavern auntniecerelationship fatherdaughterrelationship allblackcast womandirector,,1997-09-07,109.0,,6.1,jurneesmollett meagangood lynnwhitfield samuell.jackson kasilemmons  drama  sistersisterrelationship menstruation superstition independentfilm curse motherdaughterrelationship tavern auntniecerelationship fatherdaughterrelationship allblackcast womandirector
Still Alice,JulianneMoore AlecBaldwin KristenStewart KateBosworth,RichardGlatzer WashWestmoreland,Drama,mother professor illness,,2014-12-05,99.0,,7.5,juliannemoore alecbaldwin kristenstewart katebosworth richardglatzer washwestmoreland  drama  mother professor illness
The Egyptian,JeanSimmons VictorMature GeneTierney PeterUstinov,MichaelCurtiz,History Drama,egypt,,1954-08-25,139.0,,6.0,jeansimmons victormature genetierney peterustinov michaelcurtiz  history drama  egypt
Nighthawks,SylvesterStallone RutgerHauer BillyDeeWilliams LindsayWagner,BruceMalmuth,Action Crime Thriller,,,1981-03-17,99.0,,6.4,sylvesterstallone rutgerhauer billydeewilliams lindsaywagner brucemalmuth  action crime thriller  
Friday the 13th Part VIII: Jason Takes Manhattan,KaneHodder JensenDaggett ScottReeves BarbaraBingham,RobHedden,Horror Thriller,newyork boat mask psychopath highschool sewerage timessquare serialkiller teenager jasonvorhees,,1989-07-28,100.0,,4.8,kanehodder jensendaggett scottreeves barbarabingham robhedden  horror thriller  newyork boat mask psychopath highschool sewerage timessquare serialkiller teenager jasonvorhees
